Group,Site,P,T,WD,TOC,Carb,Type,n-alkanes,PAHs,Pressure_regime,Temperature_regime,Lat,Lon,Image_file,color
10a,PCB06,9.4,4,1008,1.706308305,31,sample,56.65012601,7.5,High P,Low T,29.12285,-87.0988,10_Genus.jpg,"rgb(0, 152, 255)"
10b,PCB06,9.4,4,1008,1.706308305,31,sample,53.7688323,21.9,High P,Low T,29.12285,-87.0988,10_Genus.jpg,"rgb(0, 152, 255)"
13a,DSH10,15.28,4,1520,1.551581454,20.3,sample,43.37374387,35.71658229,High P,Low T,28.14478333,-87.0573,13_Genus.jpg,"rgb(0, 0, 200)"
13b,DSH10,15.28,4,1520,1.551581454,20.3,sample,41.5269757,36.37219007,High P,Low T,28.14478333,-87.0573,13_Genus.jpg,"rgb(0, 0, 200)"
15a,PCB06,0.1,4,1008,1.706308305,31,dummy,43.85,0.537409954,Low P,Low T,29.12285,-87.0988,10_Genus.jpg,"rgb(0, 152, 255)"
15b,PCB06,0.1,4,1008,1.706308305,31,dummy,49.88,0,Low P,Low T,29.12285,-87.0988,10_Genus.jpg,"rgb(0, 152, 255)"
16a,DSH10,0.1,4,1520,1.551581454,20.3,dummy,65.91,3.36481587,Low P,Low T,28.14478333,-87.0573,13_Genus.jpg,"rgb(0, 0, 200)"
16b,DSH10,0.1,4,1520,1.551581454,20.3,dummy,67.05,5.203242863,Low P,Low T,28.14478333,-87.0573,13_Genus.jpg,"rgb(0, 0, 200)"
1a,DSH08,11.1,4,1127,1.959000858,26.1,sample,58.89060682,20.52334696,High P,Low T,29.12296667,-87.03485,1_Genus.jpg,"rgb(0, 25, 255)"
1b,DSH08,11.1,4,1127,1.959000858,26.1,sample,60,19.52576233,High P,Low T,29.12296667,-87.03485,1_Genus.jpg,"rgb(0, 25, 255)"
3a,PCB03,0.1,20,96,0.842311325,78.1,sample,90.00942993,6.1,Low P,High T,29.06558333,-86.29466667,3_Genus.jpg,"rgb(255, 0, 0)"
3b,PCB03,0.1,20,96,0.842311325,78.1,sample,92.29572206,16.45,Low P,High T,29.06558333,-86.29466667,3_Genus.jpg,"rgb(255, 0, 0)"
4a,SL1460,2.5,20,212,1.433781626,43.8,sample,97.96966601,24.0220564,Low P,High T,29.12246667,-87.11656667,4_Genus.jpg,"rgb(255, 111, 0)"
4b,SL1460,2.5,20,212,1.433781626,43.8,sample,100,25.84566553,Low P,High T,29.12246667,-87.11656667,4_Genus.jpg,"rgb(255, 111, 0)"
5a,SL1240,0.1,20,62,1.725311487,9.5,sample,79.42043229,2.48,Low P,High T,28.15986667,-89.01326667,5_Genus.jpg,"rgb(255, 0, 0)"
5b,SL1240,0.1,20,62,1.725311487,9.5,sample,88.14523069,3.25,Low P,High T,28.15986667,-89.01326667,5_Genus.jpg,"rgb(255, 0, 0)"
6a,PCB09,10.5,4,981,1.576342902,40.8,sample,59.88596474,2.8,High P,Low T,28.0258,-87.04813333,6_Genus.jpg,"rgb(44, 255, 150)"
6b,PCB09,10.5,4,981,1.576342902,40.8,sample,64.41461365,3.77,High P,Low T,28.0258,-87.04813333,6_Genus.jpg,"rgb(44, 255, 150)"
7a,SL980,2.5,20,150,2.293529562,29.6,sample,96.4375687,57.04958581,Low P,High T,29.12521667,-88.04186667,7_Genus.jpg,"rgb(255, 111, 0)"
7b,SL980,2.5,20,150,2.293529562,29.6,sample,96.49964529,45.8687726,Low P,High T,29.12521667,-88.04186667,7_Genus.jpg,"rgb(255, 111, 0)"
8a,SL9150,2.5,10,251,2.214078528,32.1,sample,95.35242706,31.41987171,Low P,High T,29.08261667,-87.1625,8_Genus.jpg,"rgb(255, 111, 0)"
8b,SL9150,2.5,10,251,2.214078528,32.1,sample,94.46551704,32.05837602,Low P,High T,29.08261667,-87.1625,8_Genus.jpg,"rgb(255, 111, 0)"
9a,SL7150,1.9,10,196,1.49,69.9,notanalyzed,93.55,18.32,NA,NA,29.08718333,-86.38066667,Nodata.jpg,"rgb(255, 111, 0)"
9b,SL7150,1.9,10,196,1.49,69.9,notanalyzed,92.54,23.76,NA,NA,29.08718333,-86.38066667,Nodata.jpg,"rgb(255, 111, 0)"
11a,SL8100,1.9,10,226,2.23,56.7,notanalyzed,85.08,23.8,NA,NA,29.04046667,-87.0223,Nodata.jpg,"rgb(255, 111, 0)"
11b,SL8100,1.9,10,226,2.23,56.7,notanalyzed,93.53,25.77,NA,NA,29.04046667,-87.0223,Nodata.jpg,"rgb(255, 111, 0)"
2a,MC04,4,10,399,2.06,50.9,notanalyzed,83.14,9.41,NA,NA,29.30733333,-86.00825,Nodata.jpg,"rgb(255, 234, 0)"
2b,MC04,4,10,399,2.06,50.9,notanalyzed,88.46,11.04,NA,NA,29.30733333,-86.00825,Nodata.jpg,"rgb(255, 234, 0)"
12a,MC06,5.8,4,595,1.7,44.2,notanalyzed,84.95,19.66,NA,NA,29.08355,-86.08118333,Nodata.jpg,"rgb(151, 255, 0)"
12b,MC06,5.8,4,595,1.7,44.2,notanalyzed,78.23,15.73,NA,NA,29.08355,-86.08118333,Nodata.jpg,"rgb(151, 255, 0)"
14a,DSH08,0.1,4,1127,1.959000858,26.1,dummy,18.56,0.420887166,Low P,Low T,29.12296667,-87.03485,1_Genus.jpg,"rgb(0, 25, 255)"
14b,DSH08,0.1,4,1127,1.959000858,26.1,dummy,5.54,0,Low P,Low T,29.12296667,-87.03485,1_Genus.jpg,"rgb(0, 25, 255)"